,GEOID,geometry,minutes,count in 30,gravity_doc,fca_doc,2sfca_doc,2sfca30_doc,g2sfca_doc,3sfca_doc,raam_doc
575,17031300800,"POLYGON ((-87.7101276942524 41.85170601705358, -87.70525469183242 41.851765017657264, -87.70514769582282 41.84814001633293, -87.70503969981084 41.844518015009776, -87.70990970217501 41.844450014404856, -87.70995870019455 41.8462610150666, -87.7100186982141 41.84807701572887, -87.7101276942524 41.85170601705358))",23.91,12.0,,0.0015505378428142262,0.0010805928180215234,0.0011139586858789794,0.0008518880388538187,0.0009075389417452096,0.048442378655139895
576,17031300900,"POLYGON ((-87.70525469183242 41.851765017657264, -87.70281269061437 41.85179901796143, -87.70158068999766 41.85181801811557, -87.70036368938699 41.85183801826829, -87.70019569542418 41.84639501627933, -87.70014769740476 41.8446130156273, -87.70258369861843 41.84455201531475, -87.70503969981084 41.844518015009776, -87.70514769582282 41.84814001633293, -87.70525469183242 41.851765017657264))",29.17,13.0,396.2409267583918,0.00215065828845003,0.0017050687043312276,0.0013953695392076933,0.0012193371444905307,0.0011083692256187354,0.22544237865513989
585,17031827802,"POLYGON ((-87.59767109323421 41.607236559276316, -87.59228515156458 41.607014588686376, -87.58980517058181 41.607775596373116, -87.58873617970636 41.607995600385465, -87.5842462258311 41.6080636230595, -87.58201626079631 41.60683764324894, -87.58336927419431 41.60393565666254, -87.58368929949047 41.60090967625109, -87.58372933422176 41.597201702111406, -87.58372636738062 41.59370872669307, -87.59764121253772 41.593543648944156, -87.59764318138872 41.59712562551722, -87.59765814916997 41.600814601320984, -87.59767109323421 41.607236559276316))",19.04,4.0,,0.000547678451895576,0.0004955320092641597,0.0004828902325700851,0.00032094113986439675,0.0003171419073124488,0.1458468327918957
708,17031071200,"POLYGON ((-87.64876057479417 41.925454051787774, -87.64392657171354 41.92553205241147, -87.64378657609781 41.92188805107364, -87.64372757828997 41.92007205040558, -87.64366658048496 41.91825304973665, -87.64488958124616 41.91823504957993, -87.64731158275993 41.91819404926759, -87.64850858350027 41.91818004911555, -87.64857458133042 41.91999404978158, -87.64863257914517 41.92181705045193, -87.64869657697616 41.92363005111781, -87.64876057479417 41.925454051787774))",17.92,24.0,,0.004217001959665617,0.0029186321385850887,0.0027346132297827444,0.0035441371239649756,0.002555163853324661,0.0005340304662921743
727,17031260700,"POLYGON ((-87.7305736731785 41.880667025258525, -87.72566967048586 41.88072702587316, -87.7255786733979 41.877980024873644, -87.72554567434294 41.87708702454912, -87.72541267820127 41.87344302322466, -87.72909668017088 41.87340202276574, -87.73031268082353 41.87338602261335, -87.7304816760676 41.87791802425905, -87.7305736731785 41.880667025258525))",24.23,8.0,73.91962836669005,0.0009639564124057,0.00039610366690214817,0.00046817293427627894,0.00036581274958768557,0.0005158364014607009,0.5195702174284407
795,17031821700,"POLYGON ((-87.72165383676888 41.727787971435895, -87.71549783498945 41.727857972200034, -87.7117978339172 41.72790197265979, -87.70725583266112 41.7279059732089, -87.7057728343859 41.72614797285677, -87.70381183595804 41.72441297257118, -87.70438983618811 41.72435297248279, -87.71169983827716 41.724268971568186, -87.7116008426738 41.7206059704678, -87.71135585141593 41.713313968283835, -87.71129885360314 41.71149096773746, -87.71257785175631 41.71329596812596, -87.71501085243406 41.713259967811545, -87.71990685379684 41.713187967178825, -87.72112485413587 41.71316996702136, -87.72124284979789 41.71681696812405, -87.72135784546116 41.72046296922705, -87.72143184327957 41.72230096978122, -87.72165383676888 41.727787971435895))",0.0,4.0,,0.007613941018766756,0.004781684265674577,0.005823297726253489,0.004687418382892682,0.005062337097261571,0.009294229898641312
876,17031220602,"POLYGON ((-87.71719460999353 41.931911045746794, -87.7159706092091 41.93192404590255, -87.71230960683916 41.9319840463762, -87.71106860605697 41.93198504652964, -87.70986560527989 41.93200304668465, -87.70742660371583 41.932029046995076, -87.70744960684519 41.92922504595827, -87.70764560751837 41.92872904575123, -87.7078946080777 41.92836504558634, -87.70758560832728 41.92796704547764, -87.70721861171178 41.92471604432399, -87.70756761192902 41.92471404428034, -87.70761760996194 41.92651304493756, -87.71081261195204 41.926503044540645, -87.71215661280877 41.92648104436713, -87.71459561436004 41.92644404405332, -87.7146316128564 41.92783404456096, -87.71707361440771 41.92780404424921, -87.71708761392333 41.92825504441358, -87.71714461195171 41.930091045082705, -87.71719460999353 41.931911045746794))",29.88,16.0,,0.0007620870551538352,0.0004054009471900729,0.0005434767121504229,0.0006894737000142764,0.0004912959344761425,0.05435807657353748
893,17097865600,"POLYGON ((-87.78906845860135 42.17781412205894, -87.78274545524579 42.17536212176595, -87.78136045356453 42.17616212215202, -87.77863154773752 42.17826094122591, -87.77700145011819 42.17608112249293, -87.77250776425738 42.171157795219386, -87.77186409604364 42.17045258586822, -87.7688014500527 42.16709712018772, -87.76802405205862 42.16586540467823, -87.76134945282438 42.15529011690766, -87.75921878647438 42.15236131497677, -87.77164646296407 42.152360115016855, -87.77231446348064 42.152362114958, -87.78334346273185 42.1654811183902, -87.79366746232239 42.17779312166498, -87.78906845860135 42.17781412205894))",0.0,1.0,inf,0.00027285129604365623,0.00010329511414110113,0.00012893443426148935,0.00020109015644434567,0.00012395319465522068,0.21409297774955913
927,17031242300,"POLYGON ((-87.68213962126073 41.90310703941338, -87.67969961980698 41.90314703972569, -87.67725761834701 41.903191040039744, -87.67715562253265 41.89955103870454, -87.67705162671737 41.89591203736993, -87.67949962814835 41.895868037056026, -87.681948629576 41.895827036743114, -87.68204562541976 41.899466038077705, -87.68209262334415 41.90128303874425, -87.68211862233045 41.90217203907, -87.68213962126073 41.90310703941338))",25.72,17.0,,0.002570845435277494,0.0016124591674564373,0.0019111409338522576,0.0018838762274752414,0.0016557463980545707,0.0777776059028199
965,17031837800,"POLYGON ((-87.69227664840231 41.884403031266466, -87.69030364359574 41.88767403271413, -87.68709164098284 41.88841503337733, -87.68662264059623 41.88852703347559, -87.68599264019784 41.88857203356859, -87.68173963777758 41.888641034109675, -87.67684563499171 41.88872003473218, -87.67668964140907 41.883147032687695, -87.67664164352227 41.88131403201482, -87.68152864628121 41.881198031381246, -87.68395964763128 41.881159031073004, -87.68643064895421 41.88116203077548, -87.69150465173371 41.88111303014415, -87.6921616520943 41.88110603006215, -87.69223065004199 41.882941030731835, -87.69227664840231 41.884403031266466))",18.76,15.0,,0.012925893691777069,0.007233985760115544,0.007221361054752762,0.006611819067908208,0.005955437983720496,0.005809547077245035
968,17197883305,"POLYGON ((-88.22869252704481 41.436745370039475, -88.22740453323658 41.43954037279503, -88.22687654530252 41.445029378586895, -88.22598355329657 41.44866038229761, -88.22536055639775 41.45006638367215, -88.22226656377975 41.45339938656351, -88.21815557058949 41.456472388917035, -88.21619657402584 41.458029390122306, -88.21360057532635 41.45860439013726, -88.20342658056511 41.4609393902345, -88.20197658182042 41.46150939048758, -88.19810658657272 41.46368439182235, -88.19689558663433 41.46370639155852, -88.19657258664024 41.46370739148315, -88.19616057002426 41.45600238348643, -88.1957175552759 41.44915937637639, -88.19511752399437 41.43464136138852, -88.1979825237653 41.4345973618881, -88.19971252363456 41.434574362193246, -88.21704552232241 41.43434536524507, -88.21833852351284 41.43491836609807, -88.22851151146384 41.42964736236111, -88.22869252704481 41.436745370039475))",0.0,1.0,inf,0.0006493506493506494,0.0006493506493506494,0.0006493506493506494,0.0006493506493506494,0.0006493506493506492,0.03405672820311136
